gene,cancer_type,stroma,cancer,normal,ccle_m,entrezgene,ReconGeneName
ABAT,STAD,1.79930074644723,2.39105587828064,2.65581935263139,1.5487024308065,18,18.2
ABCA1,KIRP,3.68453703217602,1.98036429047971,1.88312237918176,0,19,19.1
ABCA1,KIRC,3.60119498762934,3.03601775677817,1.99934929030827,3.94345455835614,19,19.1
ABCA1,GBM,4.28286309604476,2.55642725834832,1.62220241005997,2.85144266793295,19,19.1
ABCA1,HNSC,3.3191225285791,1.71158317354598,2.00408138046654,3.19485681162461,19,19.1
ABCA1,BRCA,2.56786472187632,1.52142112299726,2.86749474667519,1.06643802295291,19,19.1
ABCA1,CRC,2.97365704204913,0.710346923626853,2.23558411052444,0.455411421763381,19,19.1
ABCA1,PRAD,1.6961140809918,1.20550391246937,1.25055211100336,0.625016394008364,19,19.1
ABCA1,LUSC,3.07274123292126,2.07262525383552,2.85128957491453,1.79885145158153,19,19.1
ABCA1,STAD,3.22653261001872,1.08423673123351,1.74992073621622,1.33177366687386,19,19.1
ABCA1,LUAD,3.01926938997071,1.43798784831126,3.1223084474703,2.19755228348222,19,19.1
ABCA1,BLCA,2.8034995224499,1.68537134684279,2.47374348041808,2.50831968027019,19,19.1
ABCA1,SKCM,3.16091456302128,1.42058420218007,2.14784468898509,1.39395826604204,19,19.1
ABCA1,PAAD,2.84087750472085,0.633648502707222,2.29010263421173,2.07741423197354,19,19.1
ABCA1,THCA,2.05349211327665,2.7632824172914,1.83320167417617,2.80233089098322,19,19.1
ABCA1,ESCA,3.40562743661899,1.53812296566256,2.02784576068691,1.61225383120501,19,19.1
ABCA1,CESC,2.97900227113296,1.1034247567014,1.14944298886469,2.26495895414966,19,19.1
ABCA1,LIHC,3.37518123764711,3.03012344114131,4.19266997247204,3.59206373984132,19,19.1
ABCA1,LGG,3.13714900595534,3.31301635019998,1.62220241005997,3.33777516322552,19,19.1
ABCA1,UCEC,2.06251821086184,1.54526069594061,1.67860331613903,0.623953089218669,19,19.1
ABCA1,OV,3.10683502288455,1.76012595295769,2.36608077351436,1.34153227227435,19,19.1
ABCA3,GBM,3.15097657450261,4.44585934072499,5.29215940058461,1.86298531218286,21,21.1
ABCA3,CRC,2.22620471411467,0.61348100490545,1.44248531995552,2.07342210341977,21,21.1
ABCA3,KIRP,4.11959667034878,4.09503516717565,2.79327033814746,0,21,21.1
ABCA3,STAD,2.5231665574616,1.06126755944761,1.91558189269024,3.13493656832758,21,21.1
ABCA3,BLCA,1.36211906243122,1.18088697484559,1.57751252178216,0.605660239327336,21,21.1
ABCA3,BRCA,2.62077212601756,4.62664675669497,2.92541326072304,3.85029079669989,21,21.1
ABCA3,PAAD,2.08135487993434,2.54249532053938,2.51239874706931,2.09956709636548,21,21.1
ABCA3,SKCM,2.09051238237583,2.84098324124792,2.33495286745505,0.581457855764775,21,21.1
ABCA3,ESCA,1.9182193815991,1.00422774955228,2.18335962444455,1.30679417451477,21,21.1
ABCA3,PRAD,2.69653065038317,4.38808112230716,2.86363095224973,3.82811129795324,21,21.1
ABCA3,THCA,3.85573945007032,4.26465862418308,4.16959005462911,2.4085951861829,21,21.1
ABCA3,CESC,1.26901738625979,2.55682388161699,2.28407218911657,1.59246235455016,21,21.1
ABCA3,LUAD,4.91286438317868,3.81859934182587,7.19058989652068,2.92729805425136,21,21.1
ABCA3,LIHC,1.52147403854173,1.32376098777248,0.822902534916829,1.42088945601257,21,21.1
ABCA3,LUSC,4.32993098916586,1.25720869670939,7.09555688500915,2.38464300508677,21,21.1
ABCA3,UCEC,1.04739786969125,2.10806276972827,2.27684212323585,3.6256391516302,21,21.1
ABCA3,LGG,4.37540864882421,5.36764271455232,5.29215940058461,1.39343246209615,21,21.1
ABCA3,OV,2.53805567338792,2.82080718876996,1.81725899315984,2.84728868861671,21,21.1
ABCA3,KIRC,3.34267724424932,3.30067470964778,2.62968776965986,4.56715385237273,21,21.1
ABCA3,HNSC,0.806674107796562,1.65888795434872,1.37312701179414,0.546897282260404,21,21.1
ABCA4,LIHC,0.553342705380584,0.893795398095067,0.459013680991082,0.244698001407917,24,24.1
ABCA4,CESC,0.139029025978608,0.73653916644526,0.146410251406589,0.359086743662318,24,24.1
ABCA4,OV,1.30069406840196,1.04685903829913,0.267276134204609,0.405673341099507,24,24.1
ABCA4,CRC,0.214398274835698,0.151142604260398,0.123324403117721,0.0528642263899869,24,24.1
ABCA4,STAD,0.193217139708868,0.106723749602291,0.184378885773769,0.048199964709938,24,24.1
ABCA4,PRAD,0.208507053910373,0.132786494392298,0.177015893681765,0.0645960074468497,24,24.1
ABCA4,PAAD,0.158736852511749,0.336509162675636,0.120511610282606,0.0859105234700535,24,24.1
ABCA4,LUAD,2.27742083074605,0.885164834691315,0.424121701054152,0.33302820527857,24,24.1
ABCA4,HNSC,0.513214054827496,0.717701024570253,0.240505629096376,0.122568084139219,24,24.1
ABCA4,BRCA,0.776606539910503,0.683709229052111,0.721902937179174,0.440624204245943,24,24.1
ABCA4,SKCM,0.230466916306029,0.210429647514075,0.0396993546181748,0.0398034921064558,24,24.1
ABCA4,THCA,0.744504848395737,0.374643581888491,0.313203126867332,0.0679493146605791,24,24.1
ABCA4,LGG,0.250153752044466,0.15970011109137,0.295252686353248,0.104995530404583,24,24.1
ABCA4,BLCA,1.16272838350393,0.569113298018353,0.327999680626937,0.145977298321628,24,24.1
ABCA4,GBM,0.3811046288592,0.127522760027743,0.295252686353248,0.124134948550129,24,24.1
ABCA4,UCEC,0.524412631960704,1.23207763489973,0.235958170232649,0.676678313642902,24,24.1
ABCA4,LUSC,0.841721178247834,1.72638873606067,0.506844821797209,0.120271908829951,24,24.1
ABCA4,ESCA,0.244839970856372,1.00733799695657,0.200972271783672,0.219030419449934,24,24.1
ABCA4,KIRC,0.130261217774099,0.408238128480631,1.03237788820865,0.0727779715811748,24,24.1
ABCA4,KIRP,0.195742830327278,0.161153899209717,1.0301422412999,0,24,24.1
ABCA8,UCEC,1.39491021460649,0.0792422493061558,3.37705403777383,0.00923309294295462,10351,10351.1
ABCA8,PAAD,2.81069892069038,0,2.251123972351,0.0116658641711834,10351,10351.1
ABCA8,STAD,2.27017252161904,0,2.66405175929302,0.00836661448853963,10351,10351.1
ABCA8,PRAD,2.87901615394864,0.273160305939343,1.76610632677045,0.0151160939910646,10351,10351.1
ABCA8,LUAD,1.86708205461468,0.266622805096922,3.64986096287052,0.0215864432251719,10351,10351.1
ABCA8,BRCA,2.26668998933723,0,3.97254280640358,0.00753167431851452,10351,10351.1
ABCA8,SKCM,1.36226700221791,1.90217986304646,0.115963980330237,0.0938156414597374,10351,10351.1
ABCA8,THCA,1.70500421794859,1.64745449246665,2.58762619874696,0.0216842723948722,10351,10351.1
ABCA8,BLCA,1.14608270651059,0.221767941449096,2.89133427918493,0.0136057290725693,10351,10351.1
ABCA8,OV,1.68256987820043,0,5.80843770451569,0.0122255445983585,10351,10351.1
ABCA8,CESC,0.512571882374926,0.0646242166609384,3.49779618517471,0.36215536240999,10351,10351.1
ABCA8,LUSC,1.36340058589623,0,3.65734987698523,0.0179455630213514,10351,10351.1
ABCA8,ESCA,1.68497103071742,0,2.95637350032837,0.00605270408772707,10351,10351.1
ABCA8,HNSC,1.08422841005966,0,1.7396020351033,0.0204563831012374,10351,10351.1
ABCA8,LGG,4.19842643334278,1.4255214756761,3.05074906993265,0.11746451871964,10351,10351.1
ABCA8,CRC,1.28172355919488,0,3.210205721283,0.00787679098694778,10351,10351.1
ABCA8,GBM,3.6201256524926,1.68159754500249,3.05074906993265,0.106594263787702,10351,10351.1
ABCA8,LIHC,2.33803793177025,2.55866998919985,4.51427147823514,0.0344683484223077,10351,10351.1
ABCA8,KIRP,2.35585004969338,1.22848890581626,2.287978800895,0,10351,10351.1
ABCA8,KIRC,1.57773554270549,0.657023333008044,2.63052841103281,0.00923829909179402,10351,10351.1
ABCB1,STAD,2.41228049498919,0.56401048037726,1.62118134087624,0.0546944381027613,5243,5243.1
ABCB1,UCEC,2.7733103366703,0.493109606906664,3.70913943741271,0.136904306935327,5243,5243.1
ABCB1,SKCM,2.49618289666632,0.430960650681246,1.89720075482604,0.606571618998617,5243,5243.1
ABCB1,THCA,1.87220311195943,1.16541905054652,1.47707294620994,0.266487087296527,5243,5243.1
ABCB1,BRCA,2.53744387877314,0,2.51075920805231,0.0418051061386891,5243,5243.1
ABCB1,BLCA,1.570082467142,0.555322284780838,2.17634542123356,0.196981650880035,5243,5243.1
